공연코드,가수코드
C0001,A0045
C0002,A0078
C0003,A0008
C0004,A0100
C0005,A0006
C0005,A0010
C0005,A0018
C0006,A0031
C0007,A0022
C0008,A0011
C0009,A0023
C0010,A0021
C0010,A0050
C0011,A0064
C0012,A0071
C0013,A0073
C0014,A0081
C0014,A0085
C0014,A0095
C0014,A0110
C0014,A0118
C0014,A0121
C0015,A0040
C0015,A0051
C0015,A0052
C0015,A0054
C0015,A0057
C0015,A0069
C0015,A0070
C0015,A0074
C0015,A0075
C0015,A0082
C0015,A0086
C0015,A0087
C0015,A0088
C0015,A0091
C0015,A0092
C0015,A0096
C0015,A0101
C0015,A0102
C0015,A0103
C0015,A0119
C0016,A0097
C0017,A0104
C0018,A0065
C0018,A0120
C0019,A0105
C0020,A0060
C0021,A0066
C0022,A0111
C0023,A0016
C0023,A0019
C0023,A0028
C0023,A0034
C0023,A0041
C0023,A0046
C0023,A0047
C0023,A0053
C0023,A0083
C0023,A0099
C0024,A0082
C0024,A0087
C0024,A0089
C0024,A0092
C0024,A0093
C0024,A0098
C0024,A0102
C0024,A0103
C0024,A0106
C0024,A0112
C0024,A0116
C0025,A0055
C0025,A0056
C0026,A0040
C0026,A0052
C0026,A0084
C0026,A0087
C0026,A0098
C0026,A0103
C0026,A0107
C0026,A0108
C0026,A0113
C0026,A0114
C0026,A0115
C0026,A0116
C0027,A0067
C0028,A0109
C0029,A0048
C0030,A0024
C0031,A0079
C0032,A0032
C0033,A0076
C0034,A0068
C0035,A0090
C0036,A0035
C0037,A0117
C0038,A0036
C0039,A0033
C0040,A0005
