가수코드,가수이름,활동유형,가수이미지,데뷔연도
A0001,패티김,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/05/763/5763_500.jpg,1958
A0002,조영남,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/023/1023_500.jpg,1970
A0003,태진아,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/129/1129_20220422174422_500.jpg,1973
A0004,혜은이,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/05/148/5148_20220603122816_500.jpg,1975
A0005,마이클 볼튼,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/27/182/27182_500.jpg,1975
A0006,최백호,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/042/42_1_500.jpg,1977
A0007,인순이,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/04/232/4232_500.jpg,1978
A0008,이문세,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/043/43_500.jpg,1978
A0009,이선희,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/966/966_500.jpg,1984
A0010,알리,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/12/266/312266_20201124162046_500.jpg,1984
A0011,임재범,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/04/838/4838_20220615153622_500.jpg,1986
A0012,박종호,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/02/146/2146_500.jpg,1988
A0013,김장훈,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/081/1081_500.jpg,1991
A0014,이소라,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/983/983_500.jpg,1991
A0015,김동률,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/925/925_500.jpg,1993
A0016,홍록기,솔로,https://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/07/01/0400040701_3826_01.851.gif,1993
A0017,박진영,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/130/1130_20221121120418_500.jpg,1994
A0018,나윤선,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/04/068/4068_20220128103422_500.jpg,1994
A0019,타이거 JK,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/630/1630_500.jpg,1995
A0020,이지훈,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/123/1123_20210723103843_500.jpg,1996
A0021,소향,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/11/752/11752_20221102164657_500.jpg,1996
A0022,자우림,그룹,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/094/100094_20221201132919_500.jpg,1997
A0023,장민호,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/54/684/54684_20221108132755_500.jpg,1997
A0024,나이트위시,그룹,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/00/880/100880_500.jpg,1997
A0025,김연우,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/06/017/6017_2_500.jpg,1998
A0026,옥주현,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/714/1714_2_500.jpg,1998
A0027,조성모,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/969/969_500.jpg,1998
A0028,코요태,그룹,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/022/100022_20221005164954_500.jpg,1998
A0029,박효신,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/191/1191_500.jpg,1999
A0030,백지영,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/118/1118_500.jpg,1999
A0031,god,그룹,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/00/007/100007_500.jpg,1999
A0032,장윤정,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/22/836/22836_500.jpg,1999
A0033,박창근,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/05/950/205950_20220211180346_500.jpg,1999
A0034,윤미래,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/654/1654_500.jpg,2001
A0035,성시경,솔로,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/305/3305_20210521133532_500.jpg,2001
A0036,넬,그룹,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/01/094/101094_20210902115700_500.jpg,2001
A0037,리쌍,듀오,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/03/289/103289_500.jpg,2002
A0038,린아,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/007/77/098/777098_500.jpg,2002
A0039,임강성,솔로,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/10/513/10513_500.jpg,2002
