가수코드,장르코드
A0001,G0004
A0001,G0012
A0002,G0007
A0003,G0003
A0004,G0001
A0004,G0007
A0005,G0001
A0006,G0002
A0006,G0003
A0006,G0004
A0006,G0007
A0007,G0001
A0007,G0003
A0007,G0007
A0008,G0001
A0008,G0004
A0009,G0001
A0009,G0002
A0009,G0004
A0009,G0006
A0009,G0010
A0009,G0011
A0010,G0004
A0010,G0006
A0011,G0002
A0011,G0004
A0012,G0011
A0012,G0012
A0013,G0001
A0013,G0002
A0014,G0002
A0014,G0004
A0015,G0004
A0016,G0011
A0017,G0001
A0017,G0009
A0018,G0010
A0018,G0012
A0019,G0004
A0019,G0005
A0020,G0011
A0021,G0004
A0021,G0012
A0022,G0001
A0022,G0002
A0022,G0004
A0023,G0003
A0023,G0004
A0024,G0001
A0024,G0002
A0025,G0002
A0025,G0004
A0025,G0006
A0025,G0010
A0026,G0001
A0026,G0004
A0027,G0004
A0028,G0001
A0028,G0002
A0028,G0004
A0029,G0004
A0030,G0001
A0031,G0001
A0031,G0004
A0031,G0005
A0032,G0001
A0032,G0003
A0033,G0002
A0033,G0004
A0033,G0007
A0034,G0004
A0034,G0005
A0034,G0006
A0035,G0004
A0036,G0002
A0036,G0004
A0037,G0005
A0038,G0001
A0038,G0005
A0039,G0001
A0040,G0005
A0040,G0006
A0040,G0013
A0041,G0004
A0042,G0004
A0042,G0006
A0043,G0001
A0043,G0004
A0043,G0006
A0044,G0001
A0044,G0004
A0044,G0006
A0045,G0002
A0045,G0004
A0046,G0004
A0046,G0005
A0047,G0004
A0047,G0012
A0048,G0002
A0048,G0008
A0049,G0001
A0049,G0004
A0050,G0002
A0050,G0004
A0051,G0005
A0052,G0005
A0052,G0013
A0053,G0001
A0053,G0004
A0054,G0005
A0055,G0001
A0055,G0007
A0056,G0001
A0056,G0002
A0056,G0007
A0057,G0005
A0057,G0006
A0058,G0004
A0058,G0005
A0059,G0001
A0060,G0011
A0061,G0001
A0061,G0004
A0061,G0006
A0061,G0008
A0062,G0002
A0062,G0004
A0062,G0009
A0063,G0011
A0064,G0004
A0064,G0007
A0064,G0013
A0065,G0004
A0066,G0004
A0067,G0001
A0068,G0004
A0069,G0004
A0069,G0005
A0069,G0013
A0070,G0005
A0071,G0003
A0072,G0004
A0073,G0004
A0073,G0005
A0073,G0006
A0074,G0004
A0074,G0005
A0075,G0004
A0075,G0005
A0075,G0006
A0076,G0004
A0077,G0001
A0078,G0003
A0078,G0004
A0078,G0009
A0079,G0002
A0079,G0004
A0080,G0005
A0081,G0001
A0081,G0004
A0081,G0006
A0082,G0004
A0082,G0005
A0083,G0005
A0083,G0008
A0084,G0005
A0084,G0013
A0085,G0001
A0086,G0004
A0086,G0005
A0086,G0006
A0087,G0004
A0087,G0005
A0088,G0005
A0088,G0008
A0088,G0013
A0089,G0005
A0089,G0006
A0089,G0008
A0090,G0001
A0090,G0004
A0091,G0005
A0092,G0005
A0092,G0006
A0093,G0005
A0093,G0006
A0094,G0013
A0095,G0002
A0095,G0004
A0096,G0005
A0096,G0006
A0097,G0004
A0097,G0009
A0098,G0005
A0098,G0006
A0098,G0009
A0099,G0001
A0099,G0005
A0099,G0006
A0100,G0002
A0100,G0004
A0101,G0005
A0101,G0013
A0102,G0006
A0102,G0013
A0103,G0005
A0104,G0004
A0104,G0009
A0105,G0003
A0105,G0004
A0106,G0005
A0107,G0005
A0107,G0006
A0108,G0005
A0108,G0013
A0109,G0002
A0109,G0004
A0110,G0001
A0111,G0004
A0111,G0006
A0112,G0005
A0112,G0013
A0113,G0002
A0113,G0005
A0114,G0005
A0114,G0013
A0115,G0005
A0115,G0006
A0115,G0013
A0116,G0005
A0116,G0006
A0117,G0002
A0117,G0013
A0118,G0001
A0118,G0002
A0118,G0004
A0119,G0005
A0119,G0006
A0120,G0003
A0120,G0004
A0121,G0001
A0121,G0007
