공연코드,가수코드
1,45
2,78
3,8
4,100
5,6
5,10
5,18
6,31
7,22
8,11
9,23
10,21
10,50
11,64
12,71
13,73
14,81
14,85
14,95
14,110
14,118
14,121
15,40
15,51
15,52
15,54
15,57
15,69
15,70
15,74
15,75
15,82
15,86
15,87
15,88
15,91
15,92
15,96
15,101
15,102
15,103
15,119
16,97
17,104
18,65
18,120
19,105
20,60
21,66
22,111
23,16
23,19
23,28
23,34
23,41
23,46
23,47
23,53
23,83
23,99
24,82
24,87
24,89
24,92
24,93
24,98
24,102
24,103
24,106
24,112
24,116
25,55
25,56
26,40
26,52
26,84
26,87
26,98
26,103
26,107
26,108
26,113
26,114
26,115
26,116
27,67
28,109
29,48
30,24
31,79
32,32
33,76
34,68
35,90
36,35
37,117
38,36
39,33
40,5
41,19
42,122
43,123
44,124
45,125
46,126
