가수코드,가수이름,활동유형,가수이미지,데뷔연도,주요장르
,패티김,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/05/763/5763_500.jpg,1958,"CCM
발라드"
,조영남,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/023/1023_500.jpg,1970,포크
,태진아,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/129/1129_20220422174422_500.jpg,1973,트로트
,혜은이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/05/148/5148_20220603122816_500.jpg,1975,"팝
포크"
,마이클 볼튼,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/27/182/27182_500.jpg,1975,팝
,최백호,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/042/42_1_500.jpg,1977,"트로트
포크
발라드
락"
,인순이,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/04/232/4232_500.jpg,1978,"트로트
포크
팝"
,이문세,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/043/43_500.jpg,1978,"발라드
팝"
,이선희,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/966/966_500.jpg,1984,"팝
락
발라드
RnB
재즈
뮤지컬"
,알리,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/12/266/312266_20201124162046_500.jpg,1984,"발라드
RnB"
,임재범,solo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/04/838/4838_20220615153622_500.jpg,1986,"발라드
락"
,박종호,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/02/146/2146_500.jpg,1988,"뮤지컬
CCM"
,김장훈,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/081/1081_500.jpg,1991,"팝
락"
,이소라,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/983/983_500.jpg,1991,"발라드
락"
,김동률,solo,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/00/925/925_500.jpg,1993,발라드
,홍록기,solo,https://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040004/07/01/0400040701_3826_01.851.gif,1993,뮤지컬
